Store,Operation,N,Total_ms,Avg_ms,P50_ms,P95_ms,P99_ms
REDIS,create,10,10,1.00,0,9,9
REDIS,loadAll,10,51,5.10,4,13,13
REDIS,loadByKey,10,1,0.10,0,1,1
REDIS,delete,10,0,0.00,0,0,0
REDIS,create,100,2,0.02,0,0,1
REDIS,loadAll,100,132,13.20,5,28,28
REDIS,loadByKey,100,0,0.00,0,0,0
REDIS,delete,100,0,0.00,0,0,0
REDIS,create,1000,63,0.06,0,0,2
REDIS,loadAll,1000,789,78.90,49,175,175
REDIS,loadByKey,1000,0,0.00,0,0,0
REDIS,delete,1000,0,0.00,0,0,0
REDIS,create,2000,13,0.01,0,0,0
REDIS,loadAll,2000,437,43.70,43,55,55
REDIS,loadByKey,2000,0,0.00,0,0,0
REDIS,delete,2000,1,0.01,0,0,0
REDIS,create,4000,4,0.00,0,0,0
REDIS,loadAll,4000,1003,100.30,101,142,142
REDIS,loadByKey,4000,0,0.00,0,0,0
REDIS,delete,4000,0,0.00,0,0,0
REDIS,create,10000,2,0.00,0,0,0
REDIS,loadAll,10000,2352,235.20,230,319,319
REDIS,loadByKey,10000,3,0.00,0,0,0
REDIS,delete,10000,0,0.00,0,0,0
REDIS,create,50000,56,0.00,0,0,0
REDIS,loadAll,50000,20114,2011.40,1933,2634,2634
REDIS,loadByKey,50000,5,0.00,0,0,0
REDIS,delete,50000,0,0.00,0,0,0
